id;start_date;end_date;language
1;2022-08-29T13:43:20;2022-08-29T11:33:35;ENGLISH
2;2022-08-28T23:10:55;2022-08-29T08:36:24;FRENCH
3;2022-08-29T09:07:07;2022-08-28T21:12:15;SPANISH
4;2022-08-29T13:37:56;2022-08-28T19:04:15;FRENCH
5;2022-08-29T15:54:19;2022-08-29T00:13:17;ENGLISH
6;2022-08-29T01:25:02;2022-08-29T15:25:22;SPANISH
7;2022-08-29T09:28:50;2022-08-28T20:02:59;FRENCH
8;2022-08-28T23:54:43;2022-08-28T20:30:32;FRENCH
9;2022-08-29T00:46:21;2022-08-29T12:17:47;FRENCH
10;2022-08-28T20:43:19;2022-08-29T13:40:48;FRENCH
